"id","latitude","longitude"
"1605195","37.1171999","-80.5884089"
"1612595","36.9763465","-79.8960547"
"1612596","37.0190299","-79.871088"
"1661169","37.2929524","-79.9143885"
"1662386","37.3165757","-79.9238406"
"1665331","36.7559671","-79.9852274"
"1776980","36.9548179","-80.3609495"
"1784230","37.3023474","-79.9964269"
"1787625","36.6687919","-80.9107399"
"1790365","37.1507456","-80.4091463"
"1795748","36.6876877","-79.8682712"
"1796207","37.2777618","-80.0828912"
"1796211","37.2967628","-80.0748823"
"1800042","37.1028388","-81.1134894"
"1802811","37.264979","-79.9459717"
"1802858","36.954473","-80.876014"
"1805765","37.3020729","-79.9426798"
"1807009","37.5160712","-80.0856575"
"1809391","37.1967674","-80.0311364"
"1815155","37.254279","-79.9927732"
"1816373","37.2949624","-79.8914562"
